"x"
"ACCESSORY SINUS, NOS"
"ADRENAL GLANDS"
"BREAST"
"EYE, NOS"
"EYEBALL"
"FALLOPIAN TUBE"
"KIDNEY"
"LUNG & BRONCHUS"
"MIDDLE EAR"
"ORBIT & LACRIMAL GLAND, (EXCL. RETINA, EYE, NOS)"
"OVARY"
"PLEURA"
"RENAL PELVIS, URETER"
"RETINA"
"SALIVARY GLAND"
"SCROTUM"
"SINUSES"
"TESTIS"
"VENTRICLE"
