Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
LIP,872,NEVI & MELANOMAS,8721/3,Nodular melanoma,,,,,
LIP,872,NEVI & MELANOMAS,8722/3,Balloon cell melanoma,,,,,
LIP,872,NEVI & MELANOMAS,8723/3,"Malignant melanoma, regressing",,,,,
LIP,873,AMELANOTIC MELANOMA,8730/3,Amelanotic melanoma,,,,,
LIP,874,MAL. MEL. IN JUNCT. NEVUS,8743/3,Superficial spreading melanoma,,,,,
LIP,874,MAL. MEL. IN JUNCT. NEVUS,8745/3,"Desmoplastic melanoma, malignant",,,,,
LIP,874,MAL. MEL. IN JUNCT. NEVUS,8746/3,Mucosal lentiginous melanoma,,,,,
LIP,877,EPITHELIOID CELL MELANOMA,8770/3,Mixed epithel. & spindle cell melanoma,,,,,
LIP,877,EPITHELIOID CELL MELANOMA,8771/3,Epithelioid cell melanoma,,,,,
LIP,877,EPITHELIOID CELL MELANOMA,8772/3,"Spindle cell melanoma, NOS",,,,,
LIP,894,"MIXED TUMOR, MALIGNANT, NOS",8940/3,"Mixed tumor, malignant, NOS",,,,,
LIP,894,"MIXED TUMOR, MALIGNANT, NOS",8941/3,Carcinoma in pleomorphic adenoma,,,,,
LIP,914,KAPOSI SARCOMA,9140/3,Kaposi sarcoma,,,,,
LIP,969,"FOLLIC. & MARGINAL LYMPH, NOS",9699/3,"Marginal zone B-cell lymphoma, NOS",,,,,
LIP,982,"LYMPHOID LEUKEMIA, NOS",9823/3,Chronic lymphocytic leukemia/small lymphocytic lymphoma,,,,,
BASE OF TONGUE,800,NEOPLASM,8000/3,"Neoplasm, malignant",,,,,
BASE OF TONGUE,800,NEOPLASM,8001/3,"Tumor cells, malignant",,,,,
BASE OF TONGUE,800,NEOPLASM,8002/3,"Malignant tumor, small cell type",,,,,
BASE OF TONGUE,800,NEOPLASM,8003/3,"Malignant tumor, giant cell type",,,,,
BASE OF TONGUE,800,NEOPLASM,8004/3,"Malignant tumor, spindle cell type",,,,,
BASE OF TONGUE,800,NEOPLASM,8005/3,"Malignant tumor, clear cell type",,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8010/2,"Carcinoma in situ, NOS",,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8010/3,"Carcinoma, NOS",,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8011/3,"Epithelioma, malignant",,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8012/3,"Large cell carcinoma, NOS",,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8013/3,Large cell neuroendocrine carcinoma,,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8014/3,Large cell carcinoma with rhabdoid phenotype,,,,,
BASE OF TONGUE,801,"CARCINOMA, NOS",8015/3,Glassy cell carcinoma,,,,,
BASE OF TONGUE,802,"CARCINOMA, UNDIFF., NOS",8020/3,"Carcinoma, undifferentiated type, NOS",,,,,
BASE OF TONGUE,802,"CARCINOMA, UNDIFF., NOS",8021/3,"Carcinoma, anaplastic type, NOS",,,,,
BASE OF TONGUE,802,"CARCINOMA, UNDIFF., NOS",8022/3,Pleomorphic carcinoma,,,,,
BASE OF TONGUE,803,GIANT & SPINDLE CELL CARCINOMA,8030/3,Giant cell and spindle cell carcinoma,,,,,
BASE OF TONGUE,803,GIANT & SPINDLE CELL CARCINOMA,8031/3,Giant cell carcinoma,,,,,
BASE OF TONGUE,803,GIANT & SPINDLE CELL CARCINOMA,8032/3,Spindle cell carcinoma,,,,,
BASE OF TONGUE,803,GIANT & SPINDLE CELL CARCINOMA,8033/3,Pseudosarcomatous carcinoma,,,,,
BASE OF TONGUE,803,GIANT & SPINDLE CELL CARCINOMA,8034/3,Polygonal cell carcinoma,,,,,
BASE OF TONGUE,803,GIANT & SPINDLE CELL CARCINOMA,8035/3,Carcinoma with osteoclast-like giant cells,,,,,
BASE OF TONGUE,805,"PAPILLARY CARCINOMA, NOS",8050/2,Papillary carcinoma in situ,,,,,
BASE OF TONGUE,805,"PAPILLARY CARCINOMA, NOS",8050/3,"Papillary carcinoma, NOS",,,,,
BASE OF TONGUE,805,"PAPILLARY CARCINOMA, NOS",8051/3,"Verrucous carcinoma, NOS",,,,,
BASE OF TONGUE,805,"PAPILLARY CARCINOMA, NOS",8052/2,"Papillary squamous cell carcinoma, non-invasive",,,,,
BASE OF TONGUE,805,"PAPILLARY CARCINOMA, NOS",8052/3,Papillary squamous cell carcinoma,,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8070/2,"Squamous cell carcinoma in situ, NOS",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8070/3,"Squamous cell carcinoma, NOS",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8071/3,"Sq. cell carcinoma, keratinizing, NOS",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8072/3,"Sq. cell carcinoma, lg. cell, non-ker.",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8073/3,"Sq. cell carcinoma, sm. cell, non-ker.",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8074/3,"Sq. cell carcinoma, spindle cell",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8075/3,"Squamous cell carcinoma, adenoid",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8076/2,Sq. cell carc. in situ with question. stromal invas.,,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8076/3,"Sq. cell carcinoma, micro-invasive",,,,,
BASE OF TONGUE,807,"SQUAMOUS CELL CARCINOMA, NOS",8078/3,Squamous cell carcinoma with horn formation,,,,,
