Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
STOMACH,889,MYOMATOUS NEOPLASMS,8894/3,Angiomyosarcoma,,,,,
STOMACH,889,MYOMATOUS NEOPLASMS,8895/3,Myosarcoma,,,,,
STOMACH,889,MYOMATOUS NEOPLASMS,8896/3,Myxoid leiomyosarcoma,,,,,
STOMACH,893,STROMAL SARCOMA,8934/3,Carcinofibroma,,,,,
STOMACH,893,STROMAL SARCOMA,8935/3,"Stromal sarcoma, NOS",,,,,
STOMACH,893,STROMAL SARCOMA,8936/3,Gastrointestinal stromal sarcoma,,,,,
STOMACH,897,HEPATOBLASTOMA,8976/3,Gastroblastoma,,,,,
STOMACH,898,"CARCINOSARCOMA, NOS",8980/3,"Carcinosarcoma, NOS",,,,,
STOMACH,898,"CARCINOSARCOMA, NOS",8981/3,"Carcinosarcoma, embryonal type",,,,,
STOMACH,898,"CARCINOSARCOMA, NOS",8982/3,Malignant myoepithelioma,,,,,
STOMACH,959,"MALIGNANT LYMPHOMA, NOS",9590/3,"Malignant lymphoma, NOS",,,,,
STOMACH,959,"MALIGNANT LYMPHOMA, NOS",9591/3,"Malignant lymphoma, non-Hodgkin",,,,,
STOMACH,959,"MALIGNANT LYMPHOMA, NOS",9596/3,Composite Hodgkin and non-Hodgkin lymphoma,,,,,
STOMACH,965,HODGKIN LYMPHOMA,9650/3,"Hodgkin lymphoma, NOS",,,,,
STOMACH,965,HODGKIN LYMPHOMA,9651/3,"Hodgkin lymphoma, lymphocyte-rich",,,,,
STOMACH,965,HODGKIN LYMPHOMA,9652/3,"Hodgkin lymphoma, mixed cellularity, NOS",,,,,
STOMACH,965,HODGKIN LYMPHOMA,9653/3,"Hodgkin lymphoma, lymphocytic deplet., NOS",,,,,
STOMACH,965,HODGKIN LYMPHOMA,9654/3,"Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis",,,,,
STOMACH,965,HODGKIN LYMPHOMA,9655/3,"Hodgkin lymphoma, lymphocyt. deplet., reticular",,,,,
STOMACH,965,HODGKIN LYMPHOMA,9659/3,"Hodgkin lymph., nodular lymphocyte predom.",,,,,
STOMACH,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9661/3,Hodgkin granuloma [obs],,,,,
STOMACH,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9662/3,Hodgkin sarcoma [obs],,,,,
STOMACH,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9663/3,"Hodgkin lymphoma, nodular sclerosis, NOS",,,,,
STOMACH,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9664/3,"Hodgkin lymphoma, nod. scler., cellular phase",,,,,
STOMACH,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9665/3,"Hodgkin lymphoma, nod. scler., grade 1",,,,,
STOMACH,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9667/3,"Hodgkin lymphoma, nod. scler., grade 2",,,,,
STOMACH,967,"ML, SMALL B-CELL LYMPHOCYTIC",9670/3,"ML, small B lymphocytic, NOS",,,,,
STOMACH,967,"ML, SMALL B-CELL LYMPHOCYTIC",9671/3,"ML, lymphoplasmacytic",,,,,
STOMACH,967,"ML, SMALL B-CELL LYMPHOCYTIC",9673/3,Mantle cell lymphoma,,,,,
STOMACH,967,"ML, SMALL B-CELL LYMPHOCYTIC",9675/3,"ML, mixed sm. and lg. cell, diffuse",,,,,
STOMACH,968,"ML, LARGE B-CELL, DIFFUSE",9680/3,"ML, large B-cell, diffuse",,,,,
STOMACH,968,"ML, LARGE B-CELL, DIFFUSE",9684/3,"ML, large B-cell, diffuse, immunoblastic, NOS",,,,,
STOMACH,968,"ML, LARGE B-CELL, DIFFUSE",9687/3,"Burkitt lymphoma, NOS",,,,,
STOMACH,968,"ML, LARGE B-CELL, DIFFUSE",9688/3,T-cell histiocyte rich large B-cell lymphoma,,,,,
STOMACH,969,"FOLLIC. & MARGINAL LYMPH, NOS",9690/3,"Follicular lymphoma, NOS",,,,,
STOMACH,969,"FOLLIC. & MARGINAL LYMPH, NOS",9691/3,"Follicular lymphoma, grade 2",,,,,
STOMACH,969,"FOLLIC. & MARGINAL LYMPH, NOS",9695/3,"Follicular lymphoma, grade 1",,,,,
STOMACH,969,"FOLLIC. & MARGINAL LYMPH, NOS",9698/3,"Follicular lymphoma, grade 3",,,,,
STOMACH,969,"FOLLIC. & MARGINAL LYMPH, NOS",9699/3,"Marginal zone B-cell lymphoma, NOS",,,,,
STOMACH,970,T-CELL LYMPHOMAS,9701/3,Sezary syndrome,,,,,
STOMACH,970,T-CELL LYMPHOMAS,9702/3,"Mature T-cell lymphoma, NOS",,,,,
STOMACH,970,T-CELL LYMPHOMAS,9705/3,Angioimmunoblastic T-cell lymphoma,,,,,
STOMACH,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9712/3,Intravascular large B-cell lymphoma,,,,,
STOMACH,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9714/3,"Anaplastic large cell lymphoma, T-cell and Null cell type",,,,,
STOMACH,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9715/3,"Anaplastic large cell lymphoma, ALK negative",,,,,
STOMACH,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9719/3,"NK/T-cell lymphoma, nasal and nasal-type",,,,,
STOMACH,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9724/3,SystemicEBV pos. T-cell lymphoproliferative disease of childhood,,,,,
STOMACH,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9727/3,"Precursor cell lymphoblastic lymphoma, NOS",,,,,
STOMACH,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9728/3,Precursor B-cell lymphoblastic lymphoma,,,,,
STOMACH,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9729/3,Precursor T-cell lymphoblastic lymphoma,,,,,
STOMACH,973,PLASMA CELL TUMORS,9731/3,"Plasmacytoma, NOS",,,,,
STOMACH,973,PLASMA CELL TUMORS,9732/3,Multiple myeloma,,,,,
STOMACH,973,PLASMA CELL TUMORS,9734/3,"Plasmacytoma, extramedullary",,,,,
STOMACH,973,PLASMA CELL TUMORS,9735/3,Plasmablastic lymphoma,,,,,
STOMACH,973,PLASMA CELL TUMORS,9737/3,ALK positive large B-cell lymphoma,,,,,
STOMACH,973,PLASMA CELL TUMORS,9738/3,Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ,,,,,
STOMACH,974,MAST CELL TUMORS,9740/3,Mast cell sarcoma,,,,,
STOMACH,974,MAST CELL TUMORS,9741/3,Malignant mastocytosis,,,,,
STOMACH,974,MAST CELL TUMORS,9749/3,Erdhiem-Chester Disease,,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9750/3,Malignant histiocytosis,,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9751/3,"Langerhans cell histiocytosis, NOS",,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9754/3,"Langerhans cell histiocytosis, disseminated",,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9755/3,Histiocytic sarcoma,,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9756/3,Langerhans cell sarcoma,,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9757/3,Interdigitating dendritic cell sarcoma,,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9758/3,Follicular dendritic cell sarcoma,,,,,
STOMACH,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9759/3,Fibroblastic reticular cell tumor,,,,,
STOMACH,976,IMMUNOPROLIFERATIVE DISEASES,9766/3,"Lymphomatoid granulomatosis, grade 3",,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9811/3,"B lymphoblastic leukemia/lymphoma, NOS",,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9812/3,Leukemia/lymphoma with t(9;22)(q34;q11.2);BCR-ABL1,,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9813/3,Leukemia/lymphoma with t(v;11q23);MLL rearranged,,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9814/3,Leukemia/lymphoma with t(12;21)(p13;q22);TEL-AML1(ETV6-RUNX1),,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9815/3,B lymphoblastic leukemia/lymphoma with hyperdiploidy,,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9816/3,Leukemia/lymphoma with hypodiploidy (hypodiploid ALL),,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9817/3,B lymphblastic leukemia/lymphoma with t(5;14)(q31;q32);IL3-IGH,,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9818/3,Leukemia/lymphoma with t(1;19)(q23;p13.3); E2A PBX1 (TCF3 PBX1),,,,,
STOMACH,981,PRECURSOR LYMPHOID NEOPLASMS,9819/3,"B-lymphocytic leukemia/lymphoma, BCR-ABL1-like",,,,,
STOMACH,982,"LYMPHOID LEUKEMIA, NOS",9823/3,Chronic lymphocytic leukemia/small lymphocytic lymphoma,,,,,
STOMACH,983,PROLYMPH/PRECURS LEUKEMIA,9831/3,T-cell large granular lymphocytic leukemia,,,,,
STOMACH,983,PROLYMPH/PRECURS LEUKEMIA,9837/3,T lymphoblastic leukemia/lymphoma,,,,,
STOMACH,996,CHRONIC MYELOPROLIFERATIVE DIS.,9965/3,Myeloid and lymphoid neoplasms with PDGFRB rearrangement,,,,,
STOMACH,996,CHRONIC MYELOPROLIFERATIVE DIS.,9967/3,Myeloid and lymphoid neoplasm with FGFR1 abnormalities,,,,,
STOMACH,997,MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,9971/3,Polymorphic PTLD,,,,,
STOMACH,997,MYELOPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,9975/3,"Myelodysplastic/Myeloproliferative neoplasm, unclassifiable",,,,,
SMALL INTESTINE,800,NEOPLASM,8000/3,"Neoplasm, malignant",,,,,
SMALL INTESTINE,800,NEOPLASM,8001/3,"Tumor cells, malignant",,,,,
SMALL INTESTINE,800,NEOPLASM,8002/3,"Malignant tumor, small cell type",,,,,
SMALL INTESTINE,800,NEOPLASM,8003/3,"Malignant tumor, giant cell type",,,,,
SMALL INTESTINE,800,NEOPLASM,8004/3,"Malignant tumor, spindle cell type",,,,,
SMALL INTESTINE,800,NEOPLASM,8005/3,"Malignant tumor, clear cell type",,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8010/2,"Carcinoma in situ, NOS",,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8010/3,"Carcinoma, NOS",,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8011/3,"Epithelioma, malignant",,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8012/3,"Large cell carcinoma, NOS",,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8013/3,Large cell neuroendocrine carcinoma,,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8014/3,Large cell carcinoma with rhabdoid phenotype,,,,,
SMALL INTESTINE,801,"CARCINOMA, NOS",8015/3,Glassy cell carcinoma,,,,,
SMALL INTESTINE,802,"CARCINOMA, UNDIFF., NOS",8020/3,"Carcinoma, undifferentiated type, NOS",,,,,
SMALL INTESTINE,802,"CARCINOMA, UNDIFF., NOS",8021/3,"Carcinoma, anaplastic type, NOS",,,,,
SMALL INTESTINE,802,"CARCINOMA, UNDIFF., NOS",8022/3,Pleomorphic carcinoma,,,,,
SMALL INTESTINE,804,"SMALL CELL CARCINOMA, NOS",8041/3,"Small cell carcinoma, NOS",,,,,
SMALL INTESTINE,804,"SMALL CELL CARCINOMA, NOS",8043/3,"Small cell carcinoma, fusiform cell",,,,,
SMALL INTESTINE,805,"PAPILLARY CARCINOMA, NOS",8050/2,Papillary carcinoma in situ,,,,,
SMALL INTESTINE,805,"PAPILLARY CARCINOMA, NOS",8050/3,"Papillary carcinoma, NOS",,,,,
SMALL INTESTINE,805,"PAPILLARY CARCINOMA, NOS",8051/3,"Verrucous carcinoma, NOS",,,,,
SMALL INTESTINE,805,"PAPILLARY CARCINOMA, NOS",8052/2,"Papillary squamous cell carcinoma, non-invasive",,,,,
SMALL INTESTINE,805,"PAPILLARY CARCINOMA, NOS",8052/3,Papillary squamous cell carcinoma,,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8140/2,Adenocarcinoma in situ,,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8140/3,"Adenocarcinoma, NOS",,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8141/3,Scirrhous adenocarcinoma,,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8143/3,Superficial spreading adenocarcinoma,,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8144/2,"Intestinal-type adenoma, high grade",,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8144/3,"Adenocarcinoma, intestinal type",,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8145/3,"Carcinoma, diffuse type",,,,,
SMALL INTESTINE,814,"ADENOCARCINOMA, NOS",8147/3,Basal cell adenocarcinoma,,,,,
SMALL INTESTINE,815,ENDOCRINOMAS,8152/3,"Glucagonoma, malignant",,,,,
SMALL INTESTINE,815,ENDOCRINOMAS,8153/3,"Gastrinoma, malignant",,,,,
SMALL INTESTINE,815,ENDOCRINOMAS,8154/3,Mixed neuroendocrine non-neuroendocrine neoplasm,,,,,
SMALL INTESTINE,815,ENDOCRINOMAS,8156/3,"Somatostatinoma, malignant",,,,,
SMALL INTESTINE,815,ENDOCRINOMAS,8157/3,"Enteroglucagonoma, malignant",,,,,
SMALL INTESTINE,816,CHOLANGIOCARCINOMA,8163/3,Pancreatobiliary-type carcinoma,,,,,
SMALL INTESTINE,821,ADENOCA. IN ADENOMA. POLYP,8211/3,Tubular adenocarcinoma,,,,,
SMALL INTESTINE,821,ADENOCA. IN ADENOMA. POLYP,8213/2,"Serrated dysplasia, high grade",,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8240/3,"Carcinoid tumor, malignant",,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8241/3,Enterochromaffin cell carcinoid,,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8242/3,"Enterochromaffin-like cell tumor, malignant",,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8243/3,Goblet cell carcinoid,,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8244/3,Composite carcinoid,,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8245/3,Adenocarcinoid tumor,,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8246/3,Neuroendocrine carcinoma,,,,,
SMALL INTESTINE,824,"CARCINOID TUMOR, MALIGNANT",8249/3,Neuroendocrine tumor,,,,,
SMALL INTESTINE,825,BRONCHIOLO-ALVEOLAR ADENOCA.,8255/3,Adenocarcinoma with mixed subtypes,,,,,
SMALL INTESTINE,826,"PAPILLARY ADENOCARCINOMA, NOS",8260/3,"Papillary adenocarcinoma, NOS",,,,,
SMALL INTESTINE,826,"PAPILLARY ADENOCARCINOMA, NOS",8261/2,Adenocarcinoma in situ in villous adenoma,,,,,
SMALL INTESTINE,826,"PAPILLARY ADENOCARCINOMA, NOS",8261/3,Adenocarcinoma in villous adenoma,,,,,
SMALL INTESTINE,826,"PAPILLARY ADENOCARCINOMA, NOS",8262/3,Villous adenocarcinoma,,,,,
SMALL INTESTINE,826,"PAPILLARY ADENOCARCINOMA, NOS",8263/2,Adenocarcinoma in situ in tubulovillous adenoma,,,,,
SMALL INTESTINE,826,"PAPILLARY ADENOCARCINOMA, NOS",8263/3,Adenocarcinoma in tubulovillous adenoma,,,,,
SMALL INTESTINE,848,MUCINOUS ADENOCARCINOMA,8480/3,Mucinous adenocarcinoma,,,,,
SMALL INTESTINE,848,MUCINOUS ADENOCARCINOMA,8481/3,Mucin-producing adenocarcinoma,,,,,
SMALL INTESTINE,849,SIGNET RING CELL CARCINOMA,8490/3,Signet ring cell carcinoma,,,,,
SMALL INTESTINE,851,"MEDULLARY CARCINOMA, NOS",8510/3,"Medullary carcinoma, NOS",,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8570/3,Adenocarcinoma with squamous metaplasia,,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8571/3,Adenocarcinoma w cartilag. & oss. metaplas.,,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8572/3,Adenocarcinoma with spindle cell mataplasia,,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8573/3,Adenocarcinoma with apocrine metaplasia,,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8574/3,Adenocarcinoma with neuroendocrine differen.,,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8575/3,"Metaplastic carcinoma, NOS",,,,,
SMALL INTESTINE,857,ADENOCA. WITH METAPLASIA,8576/3,Hepatoid adenocarcinoma,,,,,
SMALL INTESTINE,869,"EXTRA-ADRENAL PARAGANG., MAL",8693/3,"Extra-adrenal paraganglioma, malignant",,,,,
SMALL INTESTINE,871,GLOMANGIOSARCOMA,8710/3,Glomangiosarcoma,,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8800/3,"Sarcoma, NOS",,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8801/3,Spindle cell sarcoma,,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8802/3,Giant cell sarcoma,,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8803/3,Small cell sarcoma,,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8804/3,Epithelioid sarcoma,,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8805/3,Undifferentiated sarcoma,,,,,
SMALL INTESTINE,880,"SARCOMA, NOS",8806/3,Desmoplastic small round cell tumor,,,,,
SMALL INTESTINE,881,FIBROMATOUS NEOPLASMS,8810/3,"Fibrosarcoma, NOS",,,,,
SMALL INTESTINE,881,FIBROMATOUS NEOPLASMS,8811/3,Fibromyxosarcoma,,,,,
SMALL INTESTINE,881,FIBROMATOUS NEOPLASMS,8813/3,Fascial fibrosarcoma,,,,,
SMALL INTESTINE,881,FIBROMATOUS NEOPLASMS,8814/3,Infantile fibrosarcoma,,,,,
SMALL INTESTINE,881,FIBROMATOUS NEOPLASMS,8815/3,"Solitary fibrous tumor, malignant",,,,,
SMALL INTESTINE,882,"SARCOMA, NOS",8825/3,Myofibroblastic sarcoma,,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8850/3,"Liposarcoma, NOS",,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8851/3,"Liposarcoma, well differentiated",,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8852/3,Myxoid liposarcoma,,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8853/3,Round cell liposarcoma,,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8854/3,Pleomorphic liposarcoma,,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8855/3,Mixed type liposarcoma,,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8857/3,Fibroblastic liposarcoma,,,,,
SMALL INTESTINE,885,LIPOSARCOMA NEOPLASMS,8858/3,Dedifferentiated liposarcoma,,,,,
SMALL INTESTINE,889,MYOMATOUS NEOPLASMS,8890/3,"Leiomyosarcoma, NOS",,,,,
SMALL INTESTINE,889,MYOMATOUS NEOPLASMS,8891/3,Epithelioid leiomyosarcoma,,,,,
SMALL INTESTINE,889,MYOMATOUS NEOPLASMS,8894/3,Angiomyosarcoma,,,,,
SMALL INTESTINE,889,MYOMATOUS NEOPLASMS,8895/3,Myosarcoma,,,,,
SMALL INTESTINE,889,MYOMATOUS NEOPLASMS,8896/3,Myxoid leiomyosarcoma,,,,,
SMALL INTESTINE,893,STROMAL SARCOMA,8934/3,Carcinofibroma,,,,,
SMALL INTESTINE,893,STROMAL SARCOMA,8935/3,"Stromal sarcoma, NOS",,,,,
SMALL INTESTINE,893,STROMAL SARCOMA,8936/3,Gastrointestinal stromal sarcoma,,,,,
SMALL INTESTINE,899,"MESENCHYMOMA, MALIGNANT",8990/3,"Mesenchymoma, malignant",,,,,
SMALL INTESTINE,899,"MESENCHYMOMA, MALIGNANT",8991/3,Embryonal sarcoma,,,,,
SMALL INTESTINE,959,"MALIGNANT LYMPHOMA, NOS",9590/3,"Malignant lymphoma, NOS",,,,,
SMALL INTESTINE,959,"MALIGNANT LYMPHOMA, NOS",9591/3,"Malignant lymphoma, non-Hodgkin",,,,,
SMALL INTESTINE,959,"MALIGNANT LYMPHOMA, NOS",9596/3,Composite Hodgkin and non-Hodgkin lymphoma,,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9650/3,"Hodgkin lymphoma, NOS",,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9651/3,"Hodgkin lymphoma, lymphocyte-rich",,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9652/3,"Hodgkin lymphoma, mixed cellularity, NOS",,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9653/3,"Hodgkin lymphoma, lymphocytic deplet., NOS",,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9654/3,"Hodgkin lymph., lymphocyt. deplet., diffuse fibrosis",,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9655/3,"Hodgkin lymphoma, lymphocyt. deplet., reticular",,,,,
SMALL INTESTINE,965,HODGKIN LYMPHOMA,9659/3,"Hodgkin lymph., nodular lymphocyte predom.",,,,,
SMALL INTESTINE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9661/3,Hodgkin granuloma [obs],,,,,
SMALL INTESTINE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9662/3,Hodgkin sarcoma [obs],,,,,
SMALL INTESTINE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9663/3,"Hodgkin lymphoma, nodular sclerosis, NOS",,,,,
SMALL INTESTINE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9664/3,"Hodgkin lymphoma, nod. scler., cellular phase",,,,,
SMALL INTESTINE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9665/3,"Hodgkin lymphoma, nod. scler., grade 1",,,,,
SMALL INTESTINE,966,"HODGKIN LYMPHOMA, NOD. SCLER.",9667/3,"Hodgkin lymphoma, nod. scler., grade 2",,,,,
SMALL INTESTINE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9670/3,"ML, small B lymphocytic, NOS",,,,,
SMALL INTESTINE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9671/3,"ML, lymphoplasmacytic",,,,,
SMALL INTESTINE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9673/3,Mantle cell lymphoma,,,,,
SMALL INTESTINE,967,"ML, SMALL B-CELL LYMPHOCYTIC",9675/3,"ML, mixed sm. and lg. cell, diffuse",,,,,
SMALL INTESTINE,968,"ML, LARGE B-CELL, DIFFUSE",9680/3,"ML, large B-cell, diffuse",,,,,
SMALL INTESTINE,968,"ML, LARGE B-CELL, DIFFUSE",9684/3,"ML, large B-cell, diffuse, immunoblastic, NOS",,,,,
SMALL INTESTINE,968,"ML, LARGE B-CELL, DIFFUSE",9687/3,"Burkitt lymphoma, NOS",,,,,
SMALL INTESTINE,968,"ML, LARGE B-CELL, DIFFUSE",9688/3,T-cell histiocyte rich large B-cell lymphoma,,,,,
SMALL INTESTINE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9690/3,"Follicular lymphoma, NOS",,,,,
SMALL INTESTINE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9691/3,"Follicular lymphoma, grade 2",,,,,
SMALL INTESTINE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9695/3,"Follicular lymphoma, grade 1",,,,,
SMALL INTESTINE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9698/3,"Follicular lymphoma, grade 3",,,,,
SMALL INTESTINE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9699/3,"Marginal zone B-cell lymphoma, NOS",,,,,
SMALL INTESTINE,970,T-CELL LYMPHOMAS,9701/3,Sezary syndrome,,,,,
SMALL INTESTINE,970,T-CELL LYMPHOMAS,9702/3,"Mature T-cell lymphoma, NOS",,,,,
SMALL INTESTINE,970,T-CELL LYMPHOMAS,9705/3,Angioimmunoblastic T-cell lymphoma,,,,,
SMALL INTESTINE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9714/3,"Anaplastic large cell lymphoma, T-cell and Null cell type",,,,,
SMALL INTESTINE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9715/3,"Anaplastic large cell lymphoma, ALK negative",,,,,
SMALL INTESTINE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9717/3,Intestinal T-cell lymphoma,,,,,
SMALL INTESTINE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9719/3,"NK/T-cell lymphoma, nasal and nasal-type",,,,,
SMALL INTESTINE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9724/3,SystemicEBV pos. T-cell lymphoproliferative disease of childhood,,,,,
SMALL INTESTINE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9727/3,"Precursor cell lymphoblastic lymphoma, NOS",,,,,
SMALL INTESTINE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9728/3,Precursor B-cell lymphoblastic lymphoma,,,,,
SMALL INTESTINE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9729/3,Precursor T-cell lymphoblastic lymphoma,,,,,
SMALL INTESTINE,973,PLASMA CELL TUMORS,9731/3,"Plasmacytoma, NOS",,,,,
SMALL INTESTINE,973,PLASMA CELL TUMORS,9734/3,"Plasmacytoma, extramedullary",,,,,
SMALL INTESTINE,973,PLASMA CELL TUMORS,9735/3,Plasmablastic lymphoma,,,,,
SMALL INTESTINE,973,PLASMA CELL TUMORS,9737/3,ALK positive large B-cell lymphoma,,,,,
SMALL INTESTINE,973,PLASMA CELL TUMORS,9738/3,Lrg B-cell lymphoma in HHV8-assoc. multicentric Castleman DZ,,,,,
SMALL INTESTINE,974,MAST CELL TUMORS,9740/3,Mast cell sarcoma,,,,,
SMALL INTESTINE,974,MAST CELL TUMORS,9741/3,Malignant mastocytosis,,,,,
SMALL INTESTINE,974,MAST CELL TUMORS,9749/3,Erdhiem-Chester Disease,,,,,
SMALL INTESTINE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9750/3,Malignant histiocytosis,,,,,
SMALL INTESTINE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9751/3,"Langerhans cell histiocytosis, NOS",,,,,
SMALL INTESTINE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9754/3,"Langerhans cell histiocytosis, disseminated",,,,,
SMALL INTESTINE,975,NEOPLASMS OF HISTIOCYTES AND ACCESSORY LYMPHOID CELLS,9755/3,Histiocytic sarcoma,,,,,
