,Foundation.URI,Code,Title,DepthInKind,isLeaf,icd_code
1669,http://id.who.int/icd/entity/131965197,2C53,"Malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum",1,FALSE,"2C53 - Malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum"
1670,http://id.who.int/icd/entity/680151582,2C53.0,"Adenocarcinoma involving overlapping sites of retroperitoneum, peritoneum or omentum",2,TRUE,"2C53.0 - Adenocarcinoma involving overlapping sites of retroperitoneum, peritoneum or omentum"
1671,http://id.who.int/icd/entity/1621745746,2C53.1,"Mesothelioma involving overlapping sites of retroperitoneum, peritoneum or omentum",2,TRUE,"2C53.1 - Mesothelioma involving overlapping sites of retroperitoneum, peritoneum or omentum"
1672,,2C53.Y,"Other specified malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum",2,TRUE,"2C53.Y - Other specified malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum"
1673,,2C53.Z,"Malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum, unspecified",2,TRUE,"2C53.Z - Malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum, unspecified"
1674,,2C5Y,"Other specified malignant neoplasms of retroperitoneum, peritoneum or omentum",1,TRUE,"2C5Y - Other specified malignant neoplasms of retroperitoneum, peritoneum or omentum"
1675,,2C5Z,"Malignant neoplasms of retroperitoneum, peritoneum or omentum, unspecified",1,TRUE,"2C5Z - Malignant neoplasms of retroperitoneum, peritoneum or omentum, unspecified"
1676,http://id.who.int/icd/entity/457240160,2C60,"Carcinoma of breast, specialised type",1,TRUE,"2C60 - Carcinoma of breast, specialised type"
1677,http://id.who.int/icd/entity/2090549892,2C61,Invasive carcinoma of breast,1,FALSE,2C61 - Invasive carcinoma of breast
1678,http://id.who.int/icd/entity/175963120,2C61.0,Invasive ductal carcinoma of breast,2,TRUE,2C61.0 - Invasive ductal carcinoma of breast
1679,http://id.who.int/icd/entity/107769421,2C61.1,Invasive lobular carcinoma of breast,2,TRUE,2C61.1 - Invasive lobular carcinoma of breast
1680,http://id.who.int/icd/entity/619691048,2C61.2,Invasive pleomorphic lobular carcinoma of breast,2,TRUE,2C61.2 - Invasive pleomorphic lobular carcinoma of breast
1681,http://id.who.int/icd/entity/326933846,2C61.3,Invasive carcinoma of breast with mixed ductal and lobular features,2,TRUE,2C61.3 - Invasive carcinoma of breast with mixed ductal and lobular features
1682,http://id.who.int/icd/entity/692664921,2C61.4,"Invasive carcinoma of breast, unidentifiable type",2,TRUE,"2C61.4 - Invasive carcinoma of breast, unidentifiable type"
1683,http://id.who.int/icd/entity/986359233,2C62,Inflammatory carcinoma of breast,1,TRUE,2C62 - Inflammatory carcinoma of breast
1684,http://id.who.int/icd/entity/147026376,2C63,Malignant phyllodes tumour of breast,1,TRUE,2C63 - Malignant phyllodes tumour of breast
1685,http://id.who.int/icd/entity/924753077,2C64,Solid papillary carcinoma of breast with evidence of invasion,1,TRUE,2C64 - Solid papillary carcinoma of breast with evidence of invasion
1686,http://id.who.int/icd/entity/1258896144,2C65,Hereditary breast and ovarian cancer syndrome,1,TRUE,2C65 - Hereditary breast and ovarian cancer syndrome
1687,,2C6Y,Other specified malignant neoplasms of breast,1,TRUE,2C6Y - Other specified malignant neoplasms of breast
1688,,2C6Z,"Malignant neoplasms of breast, unspecified",1,TRUE,"2C6Z - Malignant neoplasms of breast, unspecified"
1689,http://id.who.int/icd/entity/1530443809,2C70,Malignant neoplasms of vulva,1,FALSE,2C70 - Malignant neoplasms of vulva
1690,http://id.who.int/icd/entity/247568702,2C70.0,Basal cell carcinoma of vulva,2,TRUE,2C70.0 - Basal cell carcinoma of vulva
1691,http://id.who.int/icd/entity/360609196,2C70.1,Melanoma of vulva,2,TRUE,2C70.1 - Melanoma of vulva
1692,http://id.who.int/icd/entity/146824338,2C70.2,Squamous cell carcinoma of vulva,2,TRUE,2C70.2 - Squamous cell carcinoma of vulva
1693,,2C70.Y,Other specified malignant neoplasms of vulva,2,TRUE,2C70.Y - Other specified malignant neoplasms of vulva
1694,,2C70.Z,"Malignant neoplasms of vulva, unspecified",2,TRUE,"2C70.Z - Malignant neoplasms of vulva, unspecified"
1695,http://id.who.int/icd/entity/798353632,2C71,Malignant neoplasms of vagina,1,FALSE,2C71 - Malignant neoplasms of vagina
1696,http://id.who.int/icd/entity/1569909893,2C71.0,Adenocarcinoma of vagina,2,TRUE,2C71.0 - Adenocarcinoma of vagina
1697,http://id.who.int/icd/entity/1778503163,2C71.1,Melanoma of vagina,2,TRUE,2C71.1 - Melanoma of vagina
1698,http://id.who.int/icd/entity/1649345016,2C71.2,Squamous cell carcinoma of vagina,2,TRUE,2C71.2 - Squamous cell carcinoma of vagina
1699,,2C71.Y,Other specified malignant neoplasms of vagina,2,TRUE,2C71.Y - Other specified malignant neoplasms of vagina
1700,,2C71.Z,"Malignant neoplasms of vagina, unspecified",2,TRUE,"2C71.Z - Malignant neoplasms of vagina, unspecified"
1701,http://id.who.int/icd/entity/1302193697,2C72,"Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa",1,FALSE,"2C72 - Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa"
1702,http://id.who.int/icd/entity/589965966,2C72.0,"Adenocarcinoma of uterine ligament, parametrium, or uterine adnexa",2,TRUE,"2C72.0 - Adenocarcinoma of uterine ligament, parametrium, or uterine adnexa"
1703,http://id.who.int/icd/entity/1588787831,2C72.1,"Mucinous or serous carcinoma of uterine ligament, parametrium, or uterine adnexa",2,TRUE,"2C72.1 - Mucinous or serous carcinoma of uterine ligament, parametrium, or uterine adnexa"
1704,http://id.who.int/icd/entity/1158485735,2C72.3,"Carcinosarcomas of uterine ligament, parametrium, or uterine adnexa",2,TRUE,"2C72.3 - Carcinosarcomas of uterine ligament, parametrium, or uterine adnexa"
1705,,2C72.Y,"Other specified malignant neoplasms of uterine ligament, parametrium, and uterine adnexa",2,TRUE,"2C72.Y - Other specified malignant neoplasms of uterine ligament, parametrium, and uterine adnexa"
1706,,2C72.Z,"Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa, unspecified",2,TRUE,"2C72.Z - Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa, unspecified"
1707,http://id.who.int/icd/entity/685124533,2C73,Malignant neoplasms of ovary,1,FALSE,2C73 - Malignant neoplasms of ovary
1708,http://id.who.int/icd/entity/292186178,2C73.0,Carcinomas of ovary,2,FALSE,2C73.0 - Carcinomas of ovary
1709,http://id.who.int/icd/entity/315825558,2C73.00,Clear cell adenocarcinoma of ovary,3,TRUE,2C73.00 - Clear cell adenocarcinoma of ovary
1710,http://id.who.int/icd/entity/996484353,2C73.01,Endometrioid adenocarcinoma of ovary,3,TRUE,2C73.01 - Endometrioid adenocarcinoma of ovary
1711,http://id.who.int/icd/entity/259283045,2C73.02,Low grade serous adenocarcinoma of ovary,3,TRUE,2C73.02 - Low grade serous adenocarcinoma of ovary
1712,http://id.who.int/icd/entity/377683031,2C73.03,High grade serous adenocarcinoma of ovary,3,TRUE,2C73.03 - High grade serous adenocarcinoma of ovary
1713,http://id.who.int/icd/entity/869438441,2C73.04,Mucinous adenocarcinoma of ovary,3,TRUE,2C73.04 - Mucinous adenocarcinoma of ovary
1714,,2C73.0Y,Other specified carcinomas of ovary,3,TRUE,2C73.0Y - Other specified carcinomas of ovary
1715,,2C73.0Z,"Carcinomas of ovary, unspecified",3,TRUE,"2C73.0Z - Carcinomas of ovary, unspecified"
1716,http://id.who.int/icd/entity/208782658,2C73.1,Dysgerminoma of ovary,2,TRUE,2C73.1 - Dysgerminoma of ovary
1717,http://id.who.int/icd/entity/148207042,2C73.2,Granulosa cell malignant tumour of ovary,2,TRUE,2C73.2 - Granulosa cell malignant tumour of ovary
1718,http://id.who.int/icd/entity/551209361,2C73.3,Malignant teratoma of ovary,2,TRUE,2C73.3 - Malignant teratoma of ovary
1719,http://id.who.int/icd/entity/1074379931,2C73.4,"Serous cystadenoma, borderline malignancy of ovary",2,TRUE,"2C73.4 - Serous cystadenoma, borderline malignancy of ovary"
1720,http://id.who.int/icd/entity/455713450,2C73.5,"Endodermal sinus tumour, unspecified site, female",2,TRUE,"2C73.5 - Endodermal sinus tumour, unspecified site, female"
1721,,2C73.Y,Other specified malignant neoplasms of the ovary,2,TRUE,2C73.Y - Other specified malignant neoplasms of the ovary
1722,,2C73.Z,"Malignant neoplasms of ovary, unspecified",2,TRUE,"2C73.Z - Malignant neoplasms of ovary, unspecified"
1723,http://id.who.int/icd/entity/459381514,2C74,Malignant neoplasms of fallopian tube,1,FALSE,2C74 - Malignant neoplasms of fallopian tube
1724,http://id.who.int/icd/entity/1365341249,2C74.0,Adenocarcinoma of fallopian tube,2,TRUE,2C74.0 - Adenocarcinoma of fallopian tube
1725,,2C74.Y,Other specified malignant neoplasms of fallopian tube,2,TRUE,2C74.Y - Other specified malignant neoplasms of fallopian tube
1726,,2C74.Z,"Malignant neoplasms of fallopian tube, unspecified",2,TRUE,"2C74.Z - Malignant neoplasms of fallopian tube, unspecified"
1727,http://id.who.int/icd/entity/821359459,2C75,Malignant neoplasms of placenta,1,FALSE,2C75 - Malignant neoplasms of placenta
1728,http://id.who.int/icd/entity/1972855304,2C75.0,Malignant trophoblastic neoplasms of placenta,2,TRUE,2C75.0 - Malignant trophoblastic neoplasms of placenta
1729,,2C75.Y,Other specified malignant neoplasms of placenta,2,TRUE,2C75.Y - Other specified malignant neoplasms of placenta
