"","PROC.CODE","PROCEDURE.DESCRIPTION"
"112","15731","FOREHEAD FLAP W/VASC PEDICLE       "
"113","15732","MUSCLE-SKIN GRAFT HEAD/NECK        "
"114","15733","MUSC MYOQ/FSCQ FLP H&N PEDCL       "
"115","15734","MUSCLE-SKIN GRAFT TRUNK            "
"116","15736","MUSCLE-SKIN GRAFT ARM              "
"117","15738","MUSCLE-SKIN GRAFT LEG              "
"118","15740","ISLAND PEDICLE FLAP GRAFT          "
"119","15745","GRAFT; MYOCUTANEOUS FLAP           "
"120","15750","NEUROVASCULAR PEDICLE FLAP         "
"121","15755","FREE FLAP (MICROVASCULAR TRANSFER) "
"122","15756","FREE MYO/SKIN FLAP MICROVASC       "
"123","15757","FREE SKIN FLAP MICROVASC           "
"124","15758","FREE FASCIAL FLAP MICROVASC        "
"125","15760","COMPOSITE SKIN GRAFT               "
"126","15769","GRFG AUTOL SOFT TISS DIR EXC       "
"127","15770","DERMA-FAT-FASCIA GRAFT             "
"128","15771","GRFG AUTOL FAT LIPO 50 CC/<"
"129","15772","GRFG AUTOL FAT LIPO EA ADDL        "
"130","15773","GRFG AUTOL FAT LIPO 25 CC/<"
"131","15774","GFRG AUTOL FAT LIPO EA ADDL        "
"132","15775","HAIR TRNSPL 1-15 PUNCH GRFTS"
"133","15776","HAIR TRNSPL >15 PUNCH GRAFTS"
"134","15777","ACELLULAR DERM MATRIX IMPLT        "
"135","15780","DERMABRASION TOTAL FACE            "
"136","15781","DERMABRASION SEGMENTAL FACE        "
"137","15782","DERMABRASION OTHER THAN FACE       "
"138","15783","DERMABRASION SUPRFL ANY SITE       "
"139","15785","ABRASION TREATMENT OF SKIN         "
"140","15786","ABRASION LESION SINGLE             "
"141","15787","ABRASION LESIONS ADD-ON            "
"142","15788","CHEMICAL PEEL FACE EPIDERM         "
"143","15789","CHEMICAL PEEL FACE DERMAL          "
"144","15790","CHEMICAL PEEL (CHEMEXFOLIATION); TO"
"145","15791","CHEMICAL PEEL (CHEMEXFOLIATION); RE"
"146","15792","CHEMICAL PEEL NONFACIAL            "
"147","15800","ABRASION & CHEMOSURGERY,SKIN       "
"148","15810","SALABRASION; 20 SQ CM OR LESS"
"149","15811","SALABRASION; OVER 20 SQ CM"
"150","15819","PLASTIC SURGERY NECK               "
"151","15820","REVISION OF LOWER EYELID           "
"152","15822","REVISION OF UPPER EYELID           "
"153","15824","REMOVAL OF FOREHEAD WRINKLES       "
"154","15825","REMOVAL OF NECK WRINKLES           "
"155","15826","REMOVAL OF BROW WRINKLES           "
"156","15827","RHYTIDECTOMY SUBMETAL FAT PAD      "
"157","15828","REMOVAL OF FACE WRINKLES           "
"158","15829","REMOVAL OF SKIN WRINKLES           "
"159","15830","EXC SKIN ABD                       "
"160","15831","EXCISE EXCESSIVE SKIN TISSUE       "
"161","15832","EXCISE EXCESSIVE SKIN THIGH        "
"162","15833","EXCISE EXCESSIVE SKIN LEG          "
"163","15834","EXCISE EXCESSIVE SKIN HIP          "
"164","15835","EXCISE EXCESSIVE SKIN BUTTCK       "
"165","15836","EXCISE EXCESSIVE SKIN ARM          "
"166","15837","EXCISE EXCESS SKIN ARM/HAND        "
"167","15838","EXCISE EXCESS SKIN FAT PAD         "
"168","15839","EXCISE EXCESS SKIN & TISSUE        "
"169","15840","NERVE PALSY FASCIAL GRAFT          "
"170","15841","NERVE PALSY MUSCLE GRAFT           "
"171","15842","NERVE PALSY MICROSURG GRAFT        "
"172","15845","SKIN AND MUSCLE REPAIR FACE        "
"173","15847","EXC SKIN ABD ADD-ON                "
