"","PROC.CODE","PROCEDURE.DESCRIPTION"
"487","40500","VERMILIONECTOMY (LIP SHAVE), WITH M"
"488","4051F","REFERRED FOR AN AV FISTULA         "
"489","40510","PARTIAL EXCISION OF LIP            "
"490","4052F","HEMODIALYSIS VIA AV FISTULA        "
"491","40520","EXCISION OF LIP; V-EXCISION WITH PR"
"492","40525","RECONSTRUCT LIP WITH FLAP          "
"493","4053F","HEMODIALYSIS VIA AV GRAFT          "
"494","40530","RESECTION OF LIP, MORE THAN ONE-FOU"
"495","4054F","HEMODIALYSIS VIA CATHETER          "
"496","4055F","PT RCVNG PERITON DIALYSIS          "
"497","4056F","APPROP ORAL REHYD RECOMMD          "
"498","4058F","PED GASTRO ED GIVEN CAREGVR        "
"499","4060F","PSYCH SVCS PROVIDED                "
"500","4062F","PT REFERRAL PSYCH DOCD             "
"501","4063F","ANTIDEPRES RXTHXPY NOT RXD         "
"502","4064F","ANTIDEPRESSANT RX                  "
"503","4065F","ANTIPSYCHOTIC RX                   "
"504","40650","REPAIR LIP, FULL THICKNESS; VERMILI"
"505","40652","REPAIR LIP, FULL THICKNESS; UP TO H"
"506","40654","REPAIR LIP, FULL THICKNESS; OVER ON"
"507","4066F","ECT PROVIDED                       "
"508","4067F","PT REFERRAL FOR ECT DOCD           "
"509","4069F","VTE PROPHYLAXIS RCVD               "
"510","4070F","DVT PROPHYLX RECVD DAY 2"
"511","40700","REPAIR CLEFT LIP/NASAL             "
"512","4073F","ORAL ANTIPLAT THX RX DISCHRG       "
"513","40740","PLASTIC REPAIR OF CLEFT LIP; SECOND"
"514","4075F","ANTICOAG THX RX AT DISCHRG         "
"515","40760","REPAIR CLEFT LIP                   "
"516","4077F","DOC T-PA ADMIN CONSIDERED          "
"517","4079F","DOC REHAB SVCS CONSIDERED          "
"518","40799","LIP SURGERY PROCEDURE              "
"519","40800","DRAINAGE OF MOUTH LESION           "
"520","40804","REMOVAL FOREIGN BODY MOUTH         "
"521","40806","INCISION OF LIP FOLD               "
"522","40808","BIOPSY, VESTIBULE OF MOUTH         "
"523","40810","EXCISION OF LESION OF MUCOSA AND SU"
"524","40812","EXCISE/REPAIR MOUTH LESION         "
"525","40816","EXCISION OF MOUTH LESION           "
"526","40818","EXCISION OF MUCOSA OF VESTIBULE OF "
"527","40819","EXCISION OF FRENUM, LABIAL OR BUCCA"
"528","40820","TREATMENT OF MOUTH LESION          "
"529","40830","REPAIR MOUTH LACERATION            "
"530","4084F","ASPIRIN RECVD W/IN 24 HRS"
"531","40840","RECONSTRUCTION OF MOUTH            "
"532","4086F","ASPIRIN/CLOPIDOGREL RXD            "
"533","40899","MOUTH SURGERY PROCEDURE            "
"534","4090F","PT RCVNG EPO THXPY                 "
"535","4095F","PT NOT RCVNG EPO THXPY             "
"536","4100F","BIPHOS THXPY VEIN ORD/RECVD        "
"537","41010","INCISION OF LINGUAL FRENUM (FRENOTO"
"538","41019","PLACE NEEDLES H&N FOR RT           "
"539","4110F","INT MAM ART USED FOR CABG          "
"540","41100","BIOPSY OF TONGUE                   "
"541","41108","BIOPSY OF FLOOR OF MOUTH           "
"542","41110","EXCISION OF TONGUE LESION          "
"543","41115","EXCISION OF TONGUE FOLD            "
"544","41116","EXCISION, LESION OF FLOOR OF MOUTH "
"545","41120","PARTIAL REMOVAL OF TONGUE          "
"546","41130","GLOSSECTOMY; HEMIGLOSSECTOMY       "
"547","41135","TONGUE AND NECK SURGERY            "
"548","41140","GLOSSECTOMY; COMPLETE OR TOTAL, WIT"
"549","41145","TONGUE REMOVAL NECK SURGERY        "
"550","4115F","BETA BLCKR ADMIN W/IN 24 HRS"
"551","41150","TONGUE MOUTH JAW SURGERY           "
"552","41153","TONGUE MOUTH NECK SURGERY          "
"553","41155","TONGUE JAW & NECK SURGERY          "
"554","4120F","ANTIBIOT RXD/GIVEN                 "
"555","4124F","ANTIBIOT NOT RXD/GIVEN             "
"556","41250","REPAIR TONGUE LACERATION           "
"557","4130F","TOPICAL PREP RX AOE                "
"558","4131F","SYST ANTIMICROBIAL THX RX          "
"559","4132F","NO SYST ANTIMICROBIAL THX RX       "
"560","4133F","ANTIHIST/DECONG RX/RECOM           "
"561","4134F","NO ANTIHIST/DECONG RX/RECOM        "
"562","4135F","SYSTEMIC CORTICOSTEROIDS RX        "
"563","4136F","SYST CORTICOSTEROIDS NOT RX        "
"564","4140F","INHALED CORTICOSTEROIDS RXD        "
"565","4142F","CORTICOSTER SPARNG THRPY RXD       "
"566","4144F","ALT LONG-TERM CNTRL MED RXD        "
"567","4145F","2+ ANTI-HYPRTNSV AGENTS TKN"
"568","4148F","HEP A VAC INJXN ADMIN/RECVD        "
"569","4149F","HEP B VAC INJXN ADMIN/RECVD        "
"570","4150F","PT RECVNG ANTIVIR TXMNT HEPC       "
"571","41500","FIXATION OF TONGUE, MECHANICAL, OTH"
"572","4151F","PT NOT RECVNG ANTIV HEP C          "
"573","41510","TONGUE TO LIP SURGERY              "
"574","41512","TONGUE SUSPENSION                  "
"575","4152F","DOCD PEGINTF/RIB THXY CONSD        "
"576","41520","RECONSTRUCTION TONGUE FOLD         "
"577","4153F","COMBO PEGINTF/RIB RX               "
"578","41530","TONGUE BASE VOL REDUCTION          "
"579","4154F","HEP A VAC SERIES RECOMMENDED       "
"580","4155F","HEP A VAC SERIES PREV RECVD        "
"581","4156F","HEP B VAC SERIES RECOMMENDED       "
"582","4157F","HEP B VAC SERIES PREV RECVD        "
"583","4158F","PT EDU RE ALCOH DRNKNG DONE        "
"584","4159F","CONTRCP TALK B/4 ANTIV TXMNT"
"585","41599","TONGUE AND MOUTH SURGERY           "
"586","4163F","PT COUNS 4 TXMNT OPT PROST"
"587","4164F","ADJV HRMNL THXPY RXD               "
"588","4165F","3D-CRT/IMRT RECEIVED"
"589","4167F","HD BED TILTED 1ST DAY VENT"
"590","4168F","PT CARE ICU&VENT W/IN 24HRS"
"591","4169F","NO PT CARE ICU/VENT IN 24HRS"
"592","4171F","PT RCVNG ESA THXPY                 "
"593","4172F","PT NOT RCVNG ESA THXPY             "
"594","4174F","COUNS POTENT GLAUC IMPCT           "
"595","4175F","VIS 20/40/> W/IN 90 DAYS"
"596","4176F","TALK RE UV LIGHT PT/CRGVR          "
"597","4177F","TALK PT/CRGVR RE AREDS PREV        "
"598","4178F","ANTID GLBLN RCVD W/IN 26WKS"
"599","4179F","TAMOXIFEN/AI PRESCRIBED            "
"600","4180F","ADJV THXPYRXD/RCVD COLON CA        "
"601","41800","DRAINAGE OF GUM LESION             "
"602","41805","REMOVAL FOREIGN BODY GUM           "
"603","41806","REMOVAL FOREIGN BODY JAWBONE       "
"604","4181F","CONFORMAL RADN THXPY RCVD          "
"605","4182F","NO CONFORMAL RADN THXPY            "
"606","41820","EXCISION GUM EACH QUADRANT         "
"607","41821","OPERCULECTOMY, EXCISION PERICORONAL"
"608","41822","EXCISION OF FIBROUS TUBEROSITIES, D"
"609","41823","EXCISION OF OSSEOUS TUBEROSITIES, D"
"610","41825","EXCISION OF GUM LESION             "
"611","41828","EXCISION OF HYPERPLASTIC ALVEOLAR M"
"612","41830","ALVEOLECTOMY, INCLUDING CURETTAGE O"
"613","4185F","CONTINUOUS PPI OR H2RA RCVD"
"614","41850","TREATMENT OF GUM LESION            "
"615","4186F","NO CONT PPI OR H2RA RCVD"
"616","4187F","ANTI RHEUM DRUGTHXPYRXD/GVN        "
"617","41870","GUM GRAFT                          "
"618","41872","REPAIR GUM                         "
"619","41874","REPAIR TOOTH SOCKET                "
"620","4188F","APPROP ACE/ARB TSTNG DONE          "
"621","4189F","APPROP DIGOXIN TSTNG DONE          "
"622","41899","DENTAL SURGERY PROCEDURE           "
"623","4190F","APPROP DIURETIC TSTNG DONE         "
"624","4191F","APPROP ANTICONVULS TSTNG           "
"625","4192F","PT NOT RCVNG GLUCOCO THXPY         "
"626","4193F","PT RCVNG<10MG DAILY PREDNISO"
"627","4194F","PT RCVNG10MG DAILY PREDNISO"
"628","4195F","PT RCVNG ANTI-RHEUM THXPY RA       "
"629","4196F","PTNOT RCVNG ANTI-RHM THXPYRA       "
"630","4200F","EXTERNAL BEAM TO PROST ONLY        "
"631","42000","DRAINAGE MOUTH ROOF LESION         "
"632","4201F","EXTRNL BEAM OTHER THAN PROST       "
"633","4210F","ACE/ARB THXPY FOR MOS/>            "
"634","42100","BIOPSY OF PALATE, UVULA            "
"635","42104","EXCISION LESION MOUTH ROOF         "
"636","42120","RESECTION OF PALATE OR EXTENSIVE RE"
"637","42140","EXCISION OF UVULA                  "
"638","42145","REPAIR PALATE PHARYNX/UVULA        "
"639","42150","REMOVAL OF EXOSTOSIS, BONY PALATE  "
"640","42160","TREATMENT MOUTH ROOF LESION        "
"641","42180","REPAIR PALATE                      "
"642","4220F","DIGOXIN THXPY FOR 6 MOS/>"
"643","42200","RECONSTRUCT CLEFT PALATE           "
"644","4221F","DIURETIC THXPY FOR 6 MOS/>"
"645","42226","LENGTHENING OF PALATE              "
"646","42250","REPAIR OROANTRAL OR ORONASAL FISTUL"
"647","42260","REPAIR NOSE TO LIP FISTULA         "
"648","42280","PREPARATION PALATE MOLD            "
"649","42281","INSERTION PALATE PROSTHESIS        "
"650","42299","PALATE/UVULA SURGERY               "
"651","4230F","ANTICONV THXPY FOR 6 MOS/>"
"652","42300","DRAINAGE OF SALIVARY GLAND         "
"653","42325","FISTULIZATION OF SUBLINGUAL SALIVAR"
"654","42330","REMOVAL OF SALIVARY STONE          "
"655","4240F","INSTR XRCZ BACK PAIN 12 WKS"
"656","42400","BIOPSY OF SALIVARY GLAND           "
"657","42408","EXCISION OF SUBLINGUAL SALIVARY CYS"
"658","42409","DRAINAGE OF SALIVARY CYST          "
"659","42410","EXCISE PAROTID GLAND/LESION        "
"660","4242F","SPRVSD XRCZ BACK PN >12 WKS"
"661","42440","EXCISE SUBMAXILLARY GLAND          "
"662","4245F","PT INSTR NRML LIFEST               "
"663","42450","EXCISE SUBLINGUAL GLAND            "
"664","4248F","PT INSTR NO BD REST 4 DAYS/>"
"665","4250F","WRMNG 4 SURG NORMOTHERMIA"
"666","42500","REPAIR SALIVARY DUCT               "
"667","42507","PAROTID DUCT DIVERSION             "
"668","42508","PAROTID DUCT DIVERSION, BILATERAL ("
"669","4255F","ANESTH 60 MIN/> AS DOCD"
"670","42550","INJECTION FOR SALIVARY X-RAY       "
"671","4256F","ANESTHE <60 MIN AS DOCD"
"672","4260F","WOUND SRFC CULTURETECH USED        "
"673","42600","CLOSURE OF SALIVARY FISTULA        "
"674","4261F","TECH OTHER THAN SURFC CULTR        "
"675","4265F","WET-DRY DRESSINGS RX RECMD         "
"676","42650","DILATION OF SALIVARY DUCT          "
"677","4266F","NO WET-DRY DRSSINGS RX RECMD       "
"678","42665","LIGATION OF SALIVARY DUCT          "
"679","4267F","COMPRSSION THXPY PRESCRIBED        "
"680","4268F","PT ED RE COMP THXPY RCVD           "
"681","4269F","APPROPOS MTHD OFFLOADING RXD       "
"682","42699","SALIVARY SURGERY PROCEDURE         "
"683","4270F","PT RCVNG ANTI R-VIRAL THXPY        "
"684","42700","DRAINAGE OF TONSIL ABSCESS         "
"685","42720","DRAINAGE OF THROAT ABSCESS         "
"686","4274F","FLU IMMUNO ADMIND RCVD             "
"687","4275F","HEP B VAC INJ ADMIN/RCVD           "
"688","4279F","PCP PROPHYLAXIS RXD                "
"689","4280F","PCP PROPHYLAX RXD 3MON LOW %"
"690","42800","BIOPSY; OROPHARYNX                 "
"691","42802","BIOPSY; HYPOPHARYNX                "
"692","42804","BIOPSY OF UPPER NOSE/THROAT        "
"693","42808","EXCISE PHARYNX LESION              "
"694","42809","REMOVE PHARYNX FOREIGN BODY        "
"695","42810","EXCISION OF NECK CYST              "
"696","42820","REMOVE TONSILS AND ADENOIDS        "
"697","42825","REMOVAL OF TONSILS                 "
"698","42830","REMOVAL OF ADENOIDS                "
"699","42842","EXTENSIVE SURGERY OF THROAT        "
"700","42860","EXCISION OF TONSIL TAGS            "
"701","42870","EXCISION OR DESTRUCTION LINGUAL TON"
"702","42880","EXCISION NASOPHARYNGEAL LESION (EG,"
"703","42890","PARTIAL REMOVAL OF PHARYNX         "
"704","42892","REVISION OF PHARYNGEAL WALLS       "
"705","42895","THROAT AND NECK SURGERY            "
"706","4290F","PT SCRNED FOR INJ DRUG USE         "
"707","42900","REPAIR THROAT WOUND                "
"708","4293F","PT SCRND HGH-RISK SEX BEHAV        "
"709","42950","RECONSTRUCTION OF THROAT           "
"710","42953","REPAIR THROAT ESOPHAGUS            "
"711","42955","SURGICAL OPENING OF THROAT         "
"712","42960","CONTROL THROAT BLEEDING            "
"713","42961","CONTROL OROPHARYNGEAL HEMORRHAGE, P"
"714","42970","CONTROL NOSE/THROAT BLEEDING       "
"715","42971","CONTROL OF NASOPHARYNGEAL HEMORRHAG"
"716","42975","DISE EVAL SLP DO BRTH FLX DX       "
"717","42999","THROAT SURGERY PROCEDURE           "
"718","4300F","PT RCVNG WARF THXPY                "
"719","43000","ESOPHAGOTOMY, CERVICAL APPROACH; WI"
"720","4301F","PT NOT RCVNG WARF THXPY            "
"721","43020","INCISION OF ESOPHAGUS              "
"722","43030","THROAT MUSCLE SURGERY              "
"723","43040","ESOPHAGOTOMY, THORACIC APPROACH; WI"
"724","4305F","PT ED RE FT CARE INSPCT RCVD       "
"725","4306F","PT TLK PSYCH & RX OPD ADDIC        "
"726","43100","EXCISION OF ESOPHAGUS LESION       "
"727","43105","WIDE EXCISION OF MALIGNANT LESION O"
"728","43107","REMOVAL OF ESOPHAGUS               "
"729","43110","ESOPHAGECTOMY (AT UPPER TWO-THIRDS "
"730","43112","ESPHG TOT W/THRCM                  "
"731","43116","PARTIAL REMOVAL OF ESOPHAGUS       "
"732","43117","PARTIAL ESOPHAGECTOMY, DISTAL TWO-T"
"733","43119","TOTAL ESOPHAGECTOMY WITH GASTROPHAR"
"734","43120","ESOPHAGOGASTRECTOMY (LOWER THIRD) A"
"735","43130","REMOVAL OF ESOPHAGUS POUCH         "
"736","43136","DIVERTICULOPEXY OF HYPOPHARYNX, WIT"
"737","43180","ESOPHAGOSCOPY RIGID TRNSO          "
"738","43191","ESOPHAGOSCOPY RIGID TRNSO DX       "
"739","43192","ESOPHAGOSCP RIG TRNSO INJECT       "
"740","43193","ESOPHAGOSCP RIG TRNSO BIOPSY       "
"741","43194","ESOPHAGOSCP RIG TRNSO REM FB       "
"742","43195","ESOPHAGOSCOPY RIGID BALLOON        "
"743","43196","ESOPHAGOSCP GUIDE WIRE DILAT       "
"744","43197","ESOPHAGOSCOPY FLEX DX BRUSH        "
"745","43198","ESOPHAGOSC FLEX TRNSN BIOPSY       "
"746","4320F","PT TALK PSYCHSOC&RX OH DPND        "
"747","43200","ESOPHAGOSCOPY FLEXIBLE BRUSH       "
"748","43201","ESOPH SCOPE W/SUBMUCOUS INJ        "
"749","43202","ESOPHAGOSCOPY FLEX BIOPSY          "
"750","43204","ESOPH SCOPE W/SCLEROSIS INJ        "
"751","43205","ESOPHAGUS ENDOSCOPY/LIGATION       "
"752","43206","ESOPH OPTICAL ENDOMICROSCOPY       "
"753","43210","EGD ESOPHAGOGASTRC FNDOPLSTY       "
"754","43211","ESOPHAGOSCOP MUCOSAL RESECT        "
"755","43212","ESOPHAGOSCOP STENT PLACEMENT       "
"756","43213","ESOPHAGOSCOPY RETRO BALLOON        "
"757","43214","ESOPHAGOSC DILATE BALLOON 30"
"758","43215","ESOPHAGOSCOPY FLEX REMOVE FB       "
"759","43216","ESOPHAGOSCOPY LESION REMOVAL       "
"760","43217","ESOPHAGOSCOPY SNARE LES REMV       "
"761","43218","ESOPHAGOSCOPY W/IRRIGATION         "
"762","43219","ESOPHAGOSCOPY, RIGID OR FLEXIBLE; W"
"763","4322F","CRGVR PROV W/ ED ADDL RSRCS        "
"764","43220","ESOPHAGOSCOPY BALLOON <30MM"
"765","43221","ESOPHAGOGASTROSCOPY,FIBEROPTIC     "
"766","43222","ESOPHAGOGASTROSCOPY W/BIOPSY       "
"767","43223","ESOPHAGOGASTROSCOPY                "
"768","43224","ESOPHAGOGASTROSCOPY W/REMOVAL POLYP"
"769","43225","REPAIR LOWER THROAT POUCH          "
"770","43226","ESOPH ENDOSCOPY DILATION           "
"771","43227","ESOPHAGOSCOPY CONTROL BLEED        "
"772","43228","ESOPH ENDOSCOPY ABLATION           "
"773","43229","ESOPHAGOSCOPY LESION ABLATE        "
"774","43231","ESOPHAGOSCOP ULTRASOUND EXAM       "
"775","43232","ESOPHAGOSCOPY W/US NEEDLE BX       "
"776","43233","EGD BALLOON DIL ESOPH30 MM/>"
"777","43234","UPPER GI ENDOSCOPY EXAM            "
"778","43235","EGD DIAGNOSTIC BRUSH WASH          "
"779","43236","UPPR GI SCOPE W/SUBMUC INJ         "
"780","43237","ENDOSCOPIC US EXAM ESOPH           "
"781","43238","EGD US FINE NEEDLE BX/ASPIR        "
"782","43239","EGD BIOPSY SINGLE/MULTIPLE         "
"783","4324F","PT QUERIED PRKNS COMPLIC           "
"784","43240","EGD W/TRANSMURAL DRAIN CYST        "
"785","43241","EGD TUBE/CATH INSERTION            "
"786","43243","EGD INJECTION VARICES              "
"787","43244","EGD VARICES LIGATION               "
"788","43245","EGD DILATE STRICTURE               "
"789","43246","EGD PLACE GASTROSTOMY TUBE         "
"790","43247","EGD REMOVE FOREIGN BODY            "
"791","43248","EGD GUIDE WIRE INSERTION           "
"792","43249","ESOPH EGD DILATION <30 MM"
"793","4325F","MED TXMNT OPTIONS RVWD W/PT        "
"794","43250","EGD CAUTERY TUMOR POLYP            "
"795","43251","EGD REMOVE LESION SNARE            "
"796","43252","EGD OPTICAL ENDOMICROSCOPY         "
"797","43253","EGD US TRANSMURAL INJXN/MARK       "
"798","43254","EGD ENDO MUCOSAL RESECTION         "
"799","43255","EGD CONTROL BLEEDING ANY           "
"800","43256","UPPR GI ENDOSCOPY W/STENT          "
"801","43257","EGD W/THRML TXMNT GERD             "
"802","43258","UPPER GASTROINTESTINAL ENDOSCOPY IN"
"803","43259","EGD US EXAM DUODENUM/JEJUNUM       "
"804","4326F","PT ASKED RE SYMP AUTO DYSFXN       "
"805","43260","ERCP W/SPECIMEN COLLECTION         "
"806","43261","ENDO CHOLANGIOPANCREATOGRAPH       "
"807","43263","ERCP SPHINCTER PRESSURE MEAS       "
"808","43264","ERCP REMOVE DUCT CALCULI           "
"809","43265","ERCP LITHOTRIPSY CALCULI           "
"810","43266","EGD ENDOSCOPIC STENT PLACE         "
"811","43267","ENDOSCOPIC RETROGRADE CHOLANGIOPANC"
"812","43270","EGD LESION ABLATION                "
"813","43273","ENDOSCOPIC PANCREATOSCOPY          "
"814","43274","ERCP DUCT STENT PLACEMENT          "
"815","43275","ERCP REMOVE FORGN BODY DUCT        "
"816","43276","ERCP STENT EXCHANGE W/DILATE       "
"817","43277","ERCP EA DUCT/AMPULLA DILATE        "
"818","43278","ERCP LESION ABLATE W/DILATE        "
"819","43279","LAP MYOTOMY HELLER                 "
"820","4328F","PT ASKED RE SLEEP DISTURB          "
"821","43280","LAPAROSCOPY FUNDOPLASTY            "
"822","43281","LAP PARAESOPHAG HERN REPAIR        "
"823","43282","LAP PARAESOPH HER RPR W/MESH       "
"824","43283","LAP ESOPH LENGTHENING              "
"825","43284","LAPS ESOPHGL SPHNCTR AGMNTJ        "
"826","43285","RMVL ESOPHGL SPHNCTR DEV           "
"827","43286","ESPHG TOT W/LAPS MOBLJ             "
"828","43287","ESPHG DSTL 2/3 W/LAPS MOBLJ"
"829","43288","ESPHG THRSC MOBLJ                  "
"830","43289","LAPAROSCOPE PROC ESOPH             "
"831","4330F","CNSLNG EPI SPEC SFTY ISSUES        "
"832","43300","REPAIR OF ESOPHAGUS                "
"833","43305","REPAIR ESOPHAGUS AND FISTULA       "
"834","43313","ESOPHAGOPLASTY CONGENITAL          "
"835","43314","TRACHEO-ESOPHAGOPLASTY CONG        "
"836","43320","FUSE ESOPHAGUS & STOMACH           "
"837","43321","ESOPHAGOGASTROSTOMY (CARDIOPLASTY),"
"838","43324","ESOPHAGOGASTRIC FUNDOPLASTY (EG, NI"
"839","43325","REVISE ESOPHAGUS & STOMACH         "
"840","43326","ESOPHAGOGASTRIC FUNDOPLASTY; WITH G"
"841","43327","ESOPH FUNDOPLASTY LAP              "
"842","43328","ESOPH FUNDOPLASTY THOR             "
"843","43330","ESOPHAGOMYOTOMY ABDOMINAL          "
"844","43331","ESOPHAGOMYOTOMY THORACIC           "
"845","43332","TRANSAB ESOPH HIAT HERN RPR        "
"846","43334","TRANSTHOR DIAPHRAG HERN RPR        "
"847","43336","THORABD DIAPHR HERN REPAIR         "
"848","43338","ESOPH LENGTHENING                  "
"849","43340","FUSE ESOPHAGUS & INTESTINE         "
"850","43350","SURGICAL OPENING ESOPHAGUS         "
"851","43360","GASTROINTESTINAL REPAIR            "
"852","4340F","CNSLNG CHLDBRNG WOMEN EPI          "
"853","43400","LIGATE ESOPHAGUS VEINS             "
"854","43401","TRANSECTION OF ESOPHAGUS WITH REPAI"
"855","43405","LIGATE/STAPLE ESOPHAGUS            "
"856","43410","REPAIR ESOPHAGUS WOUND             "
"857","43420","REPAIR ESOPHAGUS OPENING           "
"858","43450","DILATE ESOPHAGUS 1/MULT PASS"
"859","43451","DILATION OF ESOPHAGUS, BY UNGUIDED "
"860","43453","DILATE ESOPHAGUS                   "
"861","43455","DILATION OF ESOPHAGUS, BY BALLOON O"
"862","43458","DILATION OF ESOPHAGUS WITH BALLOON "
"863","43460","PRESSURE TREATMENT ESOPHAGUS       "
"864","43496","FREE JEJUNUM FLAP MICROVASC        "
"865","43497","TRANSORL LWR ESOPHGL MYOTOMY       "
"866","43499","ESOPHAGUS SURGERY PROCEDURE        "
"867","4350F","CNSLNG PROVIDED SYMP MNGMNT        "
"868","43500","SURGICAL OPENING OF STOMACH        "
"869","43501","GASTROTOMY; WITH SUTURE REPAIR OF B"
"870","43502","SURGICAL REPAIR OF STOMACH         "
"871","43510","GASTROTOMY; WITH ESOPHAGEAL DILATIO"
"872","43520","PYLOROMYOTOMY, CUTTING OF PYLORIC M"
"873","43600","BIOPSY OF STOMACH; BY CAPSULE, TUBE"
"874","43605","BIOPSY OF STOMACH                  "
"875","43610","EXCISION, LOCAL; ULCER OR BENIGN TU"
"876","43611","EXCISION, LOCAL; MALIGNANT TUMOR OF"
"877","43620","GASTRECTOMY, TOTAL; WITH ESOPHAGOEN"
"878","43621","GASTRECTOMY, TOTAL; WITH ROUX-EN-Y "
"879","43622","REMOVAL OF STOMACH                 "
"880","43624","CHOLAGIOPANCREATOGRAPHY/STONE EXTRA"
"881","43625","GASTRECTOMY, TOTAL; WITH REPAIR BY "
"882","43628","CHOLANGIOPANCREATOGRAPHY/CATH PLACE"
"883","43630","HEMIGASTRECTOMY OR DISTAL SUBTOTAL "
"884","43631","REMOVAL OF STOMACH PARTIAL         "
"885","43638","GASTRECTOMY, PARTIAL, PROXIMAL, THO"
"886","43640","VAGOTOMY INCLUDING PYLOROPLASTY, WI"
"887","43644","LAP GASTRIC BYPASS/ROUX-EN-Y       "
"888","43645","LAP GASTR BYPASS INCL SMLL I       "
"889","43647","LAP IMPL ELECTRODE ANTRUM          "
"890","43648","LAP REVISE/REMV ELTRD ANTRUM       "
"891","43651","LAPAROSCOPY VAGUS NERVE            "
"892","43653","LAPAROSCOPY GASTROSTOMY            "
"893","43659","LAPAROSCOPE PROC STOM              "
"894","43700","VISUALIZATION OF STOMACH           "
"895","43702","GASTROSCOPY W/BIOPSY               "
"896","43711","GASTROSCOPY W/REMOVAL POLYPS       "
"897","43712","GASTROSCOPY FOR HEMORRHAGE CONTROL "
"898","43714","GASTROSCOPY W/FULGURATION OF LESION"
"899","43750","PERCUTANEOUS PLACEMENT OF GASTROSTO"
"900","43752","NASAL/OROGASTRIC W/TUBE PLMT       "
"901","43753","TX GASTRO INTUB W/ASP              "
"902","43754","DX GASTR INTUB W/ASP SPEC          "
"903","43755","DX GASTR INTUB W/ASP SPECS         "
"904","43756","DX DUOD INTUB W/ASP SPEC           "
"905","43757","DX DUOD INTUB W/ASP SPECS          "
"906","43760","CHANGE GASTROSTOMY TUBE            "
"907","43761","REPOSITION GASTROSTOMY TUBE        "
"908","43762","RPLC GTUBE NO REVJ TRC             "
"909","43763","RPLC GTUBE REVJ GSTRST TRC         "
"910","43765","CHANGE OF GASTROSTOMY TUBE;        "
"911","43770","LAP PLACE GASTR ADJ DEVICE         "
"912","43771","LAP REVISE GASTR ADJ DEVICE        "
"913","43772","LAP RMVL GASTR ADJ DEVICE          "
"914","43773","LAP REPLACE GASTR ADJ DEVICE       "
"915","43774","LAP RMVL GASTR ADJ ALL PARTS       "
"916","43775","LAP SLEEVE GASTRECTOMY             "
"917","43800","PYLOROPLASTY                       "
"918","43810","GASTRODUODENOSTOMY                 "
"919","43820","FUSION OF STOMACH AND BOWEL        "
"920","43830","PLACE GASTROSTOMY TUBE             "
"921","43834","GASTROSTOMY, ENDOSCOPIC PERCUTANEOU"
"922","43840","REPAIR OF STOMACH LESION           "
"923","43842","V-BAND GASTROPLASTY                "
"924","43843","GASTROPLASTY W/O V-BAND            "
"925","43844","GASTRIC BYPASS, OTHER THAN WITH ROU"
"926","43845","GASTROPLASTY DUODENAL SWITCH       "
"927","43846","GASTRIC BYPASS FOR OBESITY         "
"928","43847","GASTRIC BYPASS INCL SMALL I        "
"929","43848","REVISION GASTROPLASTY              "
"930","43850","REVISION OF GASTRODUODENAL ANASTOMO"
"931","43860","REVISE STOMACH-BOWEL FUSION        "
"932","43870","REPAIR STOMACH OPENING             "
"933","43880","CLOSURE OF GASTROCOLIC FISTULA     "
"934","43881","IMPL/REDO ELECTRD ANTRUM           "
"935","43882","REVISE/REMOVE ELECTRD ANTRUM       "
"936","43885","ANTERIOR GASTROPEXY FOR HIATAL HERN"
"937","43886","REVISE GASTRIC PORT OPEN           "
"938","43887","REMOVE GASTRIC PORT OPEN           "
"939","43888","CHANGE GASTRIC PORT OPEN           "
"940","43999","STOMACH SURGERY PROCEDURE          "
"941","4400F","REHAB THXPY OPTIONS W/PT           "
"942","44000","ENTEROLYSIS, FREEING OF INTESTINAL "
"943","44005","ENTEROLYSIS (FREEING OF INTESTINAL "
"944","44010","INCISION OF SMALL BOWEL            "
"945","44015","INSERT NEEDLE CATH BOWEL           "
"946","44020","EXPLORE SMALL INTESTINE            "
"947","44021","DECOMPRESS SMALL BOWEL             "
"948","44025","INCISION OF LARGE BOWEL            "
"949","44040","EXTERIORIZATION OF INTESTINE (MIKUL"
"950","44050","REDUCE BOWEL OBSTRUCTION           "
"951","44055","CORRECT MALROTATION OF BOWEL       "
"952","44060","SIGMOID MYOTOMY (REILLY TYPE OPERAT"
"953","44100","BIOPSY OF BOWEL                    "
"954","44110","EXCISION OF ONE OR MORE LESIONS OF "
"955","44111","EXCISION OF BOWEL LESION(S)        "
"956","44115","EXCISION COLONIC DIVERTICULUM      "
"957","44120","REMOVAL OF SMALL INTESTINE         "
"958","44126","ENTERECTOMY W/O TAPER CONG         "
"959","44127","ENTERECTOMY W/TAPER CONG           "
"960","44128","ENTERECTOMY CONG ADD-ON            "
"961","44130","BOWEL TO BOWEL FUSION              "
"962","44131","ENTEROENTEROSTOMY, ANASTOMOSIS OF I"
"963","44132","ENTERECTOMY CADAVER DONOR          "
"964","44133","ENTERECTOMY LIVE DONOR             "
"965","44135","INTESTINE TRANSPLNT CADAVER        "
"966","44136","INTESTINE TRANSPLANT LIVE          "
"967","44137","REMOVE INTESTINAL ALLOGRAFT        "
"968","44139","MOBILIZATION OF COLON              "
"969","44140","PARTIAL REMOVAL OF COLON           "
"970","44145","COLECTOMY, PARTIAL; WITH COLOPROCTO"
